Name,Price,Rating,Details,Image,Link
Skechers Girls' Uno Gen1 - Color Surge,$25.10 - $29.98,4.6,"Fabric type
100% Synthetic
Origin
Imported
Sole material
Ethylene Vinyl Acetate
Outer material
Polyurethane (PU)",https://m.media-amazon.com/images/I/71-kKYdWpkL._AC_SX395_.jpg,https://www.amazon.com/Skechers-Girls-GEN1-COLOR-Surge-Sneaker/dp/B0CNY72PQQ/ref=sr_1_29
Skechers Girl's Ultra Flex 3.0-Graffiti Rush Sneaker,$30.00 - $39.95,5.0,"Origin
Imported
Sole material
Synthetic Rubber
Outer material
Polyurethane (PU)
Closure type
Pull-On",https://m.media-amazon.com/images/I/71AW1j19yyL._AC_SX395_.jpg,https://www.amazon.com/SKECHERS-Girls-Ultra-3-0-Graffiti-Sneaker/dp/B0D4CFJZKS/ref=sr_1_30
Skechers Unisex-Child Twinkle Sparks-Jumpin' Clou Sneaker,$32.99,4.4,"Fabric type
100% Synthetic
Origin
Made in the USA or Imported
Sole material
Manmade
Outer material
Synthetic",https://m.media-amazon.com/images/I/71nRQV92W8L._AC_SX395_.jpg,https://www.amazon.com/Skechers-Twinkle-Sparks-Jumpin-Sneaker-Little/dp/B0C4RLG75S/ref=sr_1_31
Skechers Girl's Hi Ridge Sneaker,$22.64 - $35.86,5.0,"Origin
Imported
Sole material
Ethylene Vinyl Acetate
Outer material
Polyurethane (PU)
Closure type
Lace-Up",https://m.media-amazon.com/images/I/61cQz8wfPPL._AC_SX395_.jpg,https://www.amazon.com/Skechers-Girls-Ridge-Sneaker-Little/dp/B0CC3XNVN3/ref=sr_1_32
Skechers Unisex-Child Ultra Flex 3.0 Sneaker,$35.81 - $50.00,4.8,"Origin
Made in the USA or Imported
Sole material
Ethylene Vinyl Acetate
Outer material
Mesh
Closure type
Pull-On",https://m.media-amazon.com/images/I/71VkQ-VYTTL._AC_SX395_.jpg,https://www.amazon.com/Skechers-Girls-Ultra-Black-Little/dp/B09HJHDZJR/ref=sr_1_33
Skechers Girl's Uno Ice Sneaker,$28.30 - $39.51,4.6,"Origin
Imported
Sole material
Ethylene Vinyl Acetate
Outer material
Polyurethane (PU)
Closure type
Lace-Up",https://m.media-amazon.com/images/I/71Wf6259D1L._AC_SX395_.jpg,https://www.amazon.com/Skechers-Girls-Sneaker-LightPink-Little/dp/B0CNY74RYS/ref=sr_1_34
"Nike Girl's Running Shoes, 28 EU",$22.99 - $64.25,4.5,"Sole material
Rubber
Shaft height
Low Top
Outer material
Textile
Inner material
Synthetic.",https://m.media-amazon.com/images/I/61djmIAA8iL._AC_SX395_.jpg,https://www.amazon.com/Nike-Revolution-Girls-Shoes-Color/dp/B09NSYCDDF/ref=sr_1_35
adidas Kids Boys Kaptir Flow Slip On Sneakers Shoes Casual - White,$38.13 - $65.46,4.6,"Origin
Imported
Sole material
Synthetic Rubber
Outer material
Rubber
Closure type
Pull-On",https://m.media-amazon.com/images/I/710CVswzoUL._AC_SX395_.jpg,https://www.amazon.com/adidas-Kaptir-Sneaker-Aurora-Purple/dp/B0CKMML2DV/ref=sr_1_36
SKECHERS Girl's Ultra Flex 3.0-Rainbow Speed Sneaker,$29.97 - $49.99,4.8,"Origin
Imported
Sole material
Ethylene Vinyl Acetate
Outer material
[Synthetic]
Closure type
Pull-On",https://m.media-amazon.com/images/I/71JcAFqjbOL._AC_SX395_.jpg,https://www.amazon.com/Skechers-Girls-3-0-Splendid-Sneaker-Little/dp/B0C5K3FHJY/ref=sr_1_37
Skechers Unisex-Child Uno Lite-Easy Zip Sneaker,$25.42 - $50.00,4.6,"Origin
Imported
Sole material
Ethylene Vinyl Acetate
Outer material
Mesh
Closure type
Lace-Up",https://m.media-amazon.com/images/I/61RQRHc4DlL._AC_SX395_.jpg,https://www.amazon.com/Skechers-Girls-Lite-Easy-Sneaker-Little/dp/B0C4RMFQS9/ref=sr_1_38
