Name,Price,Rating,Details,Image,Link
Dokotoo Girl's Summer Cute T-Shirt and Shorts Set with Side Pockets,$14.99,4.5,"Fabric type
95% Polyester, 5% Spandex
Care instructions
Machine Wash
Origin
Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/51LkC7AdrXL._AC_SY445_.jpg,https://www.amazon.com/Dokotoo-T-Shirt-Outfits-Stretchy-Clothing/dp/B0933BC2DV/ref=sr_1_26
Mioglrie Newborn Infant Baby Girl Clothes Romper Shorts Set Floral Summer Outfits Cute Baby Clothes Girl,$12.73 - $16.98,4.8,"Fabric type
Superior Cotton Blend Fabrics
Care instructions
Machine Wash
Origin
Imported
Closure type
Snap",https://m.media-amazon.com/images/I/71XorvtAnoL._AC_SX342_.jpg,https://www.amazon.com/Newborn-Clothes-Romper-Knitted-Clothing/dp/B08Z755PCH/ref=sr_1_30
"Simple Joys by Carter's Girls' Denim Shorts, Pack of 2",$21.00 - $24.47,4.7,"Fabric type
98% Cotton, 2% Elastane
Care instructions
Machine Wash
Origin
Imported
Closure type
Snap",https://m.media-amazon.com/images/I/91VlCOOXpHL._AC_SY445_.jpg,https://www.amazon.com/Simple-Joys-Carters-Girls-Shorts/dp/B0C11T6F9C/ref=sr_1_31
Kids Girl Clothes Tie Dye Heart Print Short Sleeve Top and Shorts Toddler Girl Summer Outfits Short Set,$8.99 - $11.99,4.6,"Fabric type
Cotton Blend
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/61GCnVIUotL._AC_SX385_.jpg,https://www.amazon.com/GOLLUNER-Clothes-Sleeve-Toddler-Outfits/dp/B0DM1X9138/ref=sr_1_32
The Children's Place Girls Denim Pull On Shorts,$23.98,4.7,"Fabric type
100% Cotton
Care instructions
Machine Wash
Origin
Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/81PBqOZ5HdL._AC_SX342_.jpg,https://www.amazon.com/Childrens-Place-Girls-Denim-Shorts/dp/B0BMFDKKTM/ref=sr_1_33
The Children's Place Girls' Leggings,$8.50 - $14.66,4.7,"Fabric type
94% Cotton, 6% Spandex
Care instructions
Machine Wash
Origin
Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/51at37dMMzL._AC_SX342_.jpg,https://www.amazon.com/Childrens-Place-Girls-Solid-Legging/dp/B00YRR3WQ6/ref=sr_1_34
The Children's Place Girls' and Toddler Assorted Everyday Pull on Leggings,$21.22 - $21.87,4.5,"Fabric type
94% Cotton, 6% Spandex
Care instructions
Machine Wash
Origin
Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/61yj7ziiH7L._AC_SX342_.jpg,https://www.amazon.com/Childrens-Place-Toddler-Girls-Leggings/dp/B0BMDSR3C7/ref=sr_1_35
"Disney Girls' 3-Pack Nightgowns, Soft & Cute Pajamas for Kids",$16.99,4.7,"Fabric type
100% Polyester
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/518brb7cBuL._AC_SX342_.jpg,https://www.amazon.com/Disney-Frozen-Minnie-Princess-Nightgown/dp/B094YQKL2D/ref=sr_1_36
"Amazon Essentials Girls and Toddlers' Knit Skorts with Elastic Waist and Built-in Breathable Shorts, Pack of 3",$19.99,4.6,"Fabric type
100% Cotton
Care instructions
Machine Wash Warm, Tumble Dry Low
Origin
Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/9102cLWINuL._AC_SX522_.jpg,https://www.amazon.com/Amazon-Essentials-Scooter-Skirts-3-Pack/dp/B08J8YKMSM/ref=sr_1_37
"The Children's Place Girls Family Matching Dresses, Mommy and Me Casual Dress",$30.57,4.6,"Fabric type
100% Polyester
Care instructions
Machine Wash
Origin
Imported
Closure type
Pull On",https://m.media-amazon.com/images/I/71YWa8FQkML._AC_SX342_.jpg,https://www.amazon.com/Childrens-Place-Everyday-Sleeveless-Multicolor/dp/B0DJ9XNRPK/ref=sr_1_38
"Disney Girls' Nightgown, Soft & Cute Pajamas for Kids",$12.99 - $14.99,4.8,"Fabric type
100% Polyester
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/61VpzBWByzL._AC_SX342_.jpg,https://www.amazon.com/Disney-Girls-Toddler-Princess-Nightgown/dp/B08JS6RCPZ/ref=sr_1_39
Fernvia Toddler Girls Clothes 1T 2T 3T 4T 5T Summer Outfits Baby Kids Short Sleeve T-Shirt Tops & Camouflage Shorts Sets,$9.99,4.6,"Fabric type
Cotton Blend
Care instructions
Machine Wash
Origin
Imported",https://m.media-amazon.com/images/I/61XPVJmWJBL._AC_SX385_.jpg,https://www.amazon.com/Fernvia-Toddler-Clothes-Outfits-Camouflage/dp/B0CR73C94Z/ref=sr_1_40
